"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/16/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/17/2021","57","PM2.5","Near Road","11-001-0051","AQS"
"07/18/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/19/2021","71","PM2.5","Near Road","11-001-0051","AQS"
"07/20/2021","88","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"07/21/2021","91","PM2.5","Near Road","11-001-0051","AQS"
"07/22/2021","69","PM2.5","RIVER TERRACE","11-001-0041","AQS"
"07/23/2021","48","PM2.5","Near Road","11-001-0051","AQS"
"07/24/2021","53","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/25/2021","63","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"07/26/2021","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/27/2021","101","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/28/2021","112","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/29/2021","69","PM2.5","Near Road","11-001-0051","AQS"
"07/30/2021","59","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"07/31/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/01/2021","62","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/02/2021","56","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/03/2021","51","PM2.5","Near Road","11-001-0051","AQS"
"08/04/2021","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/05/2021","90","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/06/2021","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/07/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/08/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/09/2021","55","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/10/2021","63","PM2.5","Near Road","11-001-0051","AQS"
"08/11/2021","47","PM2.5","Near Road","11-001-0051","AQS"
"08/12/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/13/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/14/2021","44","PM2.5","Near Road","11-001-0051","AQS"
"08/15/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/16/2021","44","PM2.5","Near Road","11-001-0051","AQS"
"08/17/2021","35","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/18/2021","32","PM2.5","Near Road","11-001-0051","AQS"
"08/19/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/20/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/21/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/22/2021","42","PM2.5","Near Road","11-001-0051","AQS"
"08/23/2021","56","PM2.5","Near Road","11-001-0051","AQS"
"08/24/2021","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/25/2021","122","Ozone","Takoma Rec Center","11-001-0050","AQS"
"08/26/2021","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/27/2021","55","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/28/2021","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"08/29/2021","53","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/30/2021","46","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"08/31/2021","48","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/01/2021","40","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/02/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/03/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/04/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/05/2021","46","PM2.5","Near Road","11-001-0051","AQS"
"09/06/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/07/2021","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/08/2021","51","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/09/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/10/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/11/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/12/2021","43","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/13/2021","59","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/14/2021","69","PM2.5","Near Road","11-001-0051","AQS"
"09/15/2021","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/16/2021","43","PM2.5","Near Road","11-001-0051","AQS"
"09/17/2021","37","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/18/2021","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"09/19/2021","43","PM2.5","Near Road","11-001-0051","AQS"
"09/20/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/21/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/22/2021","31","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/23/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/24/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/25/2021","43","PM2.5","Near Road","11-001-0051","AQS"
"09/26/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/27/2021","42","Ozone","Takoma Rec Center","11-001-0050","AQS"
"09/28/2021","54","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/29/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"09/30/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/01/2021","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/02/2021","52","PM2.5","Near Road","11-001-0051","AQS"
"10/03/2021","58","PM2.5","Near Road","11-001-0051","AQS"
"10/04/2021","40","PM2.5","Near Road","11-001-0051","AQS"
"10/05/2021","51","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"10/06/2021","30","PM2.5","Near Road","11-001-0051","AQS"
"10/07/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/08/2021","40","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS"
"10/09/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"10/10/2021","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow"
