,time,pblh(m)
730,2012-12-31,749.63715
731,2013-01-01,604.9158
732,2013-01-02,1092.3817
733,2013-01-03,1038.2542
734,2013-01-04,1375.6898
735,2013-01-05,879.90063
736,2013-01-06,1502.818
737,2013-01-07,1323.2057
738,2013-01-08,507.1045
739,2013-01-09,365.82153
740,2013-01-10,766.45013
741,2013-01-11,423.87207
742,2013-01-12,321.66064
743,2013-01-13,250.09143
744,2013-01-14,649.39465
745,2013-01-15,622.7285
746,2013-01-16,468.6692
747,2013-01-17,947.4408
748,2013-01-18,1510.24
749,2013-01-19,626.9697
750,2013-01-20,1935.8914
751,2013-01-21,1645.4792
752,2013-01-22,1989.2766
753,2013-01-23,2037.8376
754,2013-01-24,2516.7683
755,2013-01-25,1005.9685
756,2013-01-26,1602.6968
757,2013-01-27,1148.3647
758,2013-01-28,545.75183
759,2013-01-29,433.30872
760,2013-01-30,1543.6919
761,2013-01-31,2528.5906
762,2013-02-01,2299.0388
763,2013-02-02,1517.6089
764,2013-02-03,1073.6147
765,2013-02-04,1550.5837
766,2013-02-05,464.0569
767,2013-02-06,1355.1733
768,2013-02-07,714.5492
769,2013-02-08,730.5595
770,2013-02-09,1302.6362
771,2013-02-10,732.78613
772,2013-02-11,711.4214
773,2013-02-12,1639.4886
774,2013-02-13,735.0127
775,2013-02-14,1623.4254
776,2013-02-15,1886.6411
777,2013-02-16,1340.1703
778,2013-02-17,2456.6501
779,2013-02-18,2002.4242
780,2013-02-19,1181.4987
781,2013-02-20,2104.5295
782,2013-02-21,1414.3901
783,2013-02-22,635.505
784,2013-02-23,328.71155
785,2013-02-24,1930.5369
786,2013-02-25,1572.9028
787,2013-02-26,855.7792
788,2013-02-27,1904.984
789,2013-02-28,1930.1128
790,2013-03-01,1670.0779
791,2013-03-02,1705.4915
792,2013-03-03,1809.2402
793,2013-03-04,1450.705
794,2013-03-05,1186.2169
795,2013-03-06,1287.5801
796,2013-03-07,1955.9307
797,2013-03-08,1666.5259
798,2013-03-09,1084.2175
799,2013-03-10,1030.6201
800,2013-03-11,1489.6174
801,2013-03-12,1326.5457
802,2013-03-13,2508.1802
803,2013-03-14,2317.4878
804,2013-03-15,2004.4917
805,2013-03-16,777.8482
806,2013-03-17,996.744
807,2013-03-18,889.70825
808,2013-03-19,3485.0735
