SITE_ID,DATE,AQI_TRUE
BEL116,12/22/2012,33
BEL116,12/23/2012,33
BEL116,12/24/2012,64
BEL116,12/25/2012,62
BEL116,12/26/2012,27
BEL116,12/27/2012,32
BEL116,12/28/2012,40
BEL116,12/29/2012,48
BEL116,12/30/2012,33
BEL116,12/31/2012,41
BEL116,01/01/2013,43
BEL116,01/02/2013,52
BEL116,01/03/2013,55
BEL116,01/04/2013,38
BEL116,01/05/2013,35
BEL116,01/06/2013,38
BEL116,01/07/2013,46
BEL116,01/08/2013,56
BEL116,01/09/2013,69
BEL116,01/10/2013,33
BEL116,01/11/2013,54
BEL116,01/12/2013,67
BEL116,01/13/2013,31
BEL116,01/14/2013,34
BEL116,01/15/2013,52
BEL116,01/16/2013,46
BEL116,01/17/2013,44
BEL116,01/18/2013,34
BEL116,01/19/2013,52
BEL116,01/20/2013,38
BEL116,01/21/2013,31
BEL116,01/22/2013,31
BEL116,01/23/2013,30
BEL116,01/24/2013,52
BEL116,01/25/2013,30
BEL116,01/26/2013,69
BEL116,01/27/2013,77
BEL116,01/28/2013,79
BEL116,01/29/2013,64
BEL116,01/30/2013,44
BEL116,01/31/2013,32
BEL116,02/01/2013,28
BEL116,02/02/2013,29
BEL116,02/03/2013,55
BEL116,02/04/2013,28
BEL116,02/05/2013,62
BEL116,02/06/2013,56
BEL116,02/07/2013,53
BEL116,02/08/2013,37
BEL116,02/09/2013,36
BEL116,02/10/2013,36
BEL116,02/11/2013,32
BEL116,02/12/2013,39
BEL116,02/13/2013,57
BEL116,02/14/2013,54
BEL116,02/15/2013,42
BEL116,02/16/2013,31
BEL116,02/17/2013,37
BEL116,02/18/2013,34
BEL116,02/19/2013,31
BEL116,02/20/2013,31
BEL116,02/21/2013,31
BEL116,02/22/2013,35
BEL116,02/23/2013,45
BEL116,02/24/2013,57
BEL116,02/25/2013,52
BEL116,02/26/2013,53
BEL116,02/27/2013,34
BEL116,02/28/2013,30
BEL116,03/01/2013,32
BEL116,03/02/2013,35
BEL116,03/03/2013,37
BEL116,03/04/2013,40
BEL116,03/05/2013,48
BEL116,03/06/2013,35
